Wall time,Step,Value
1587446704.4757752,24364,-0.8125
1587446704.7727563,24389,-0.734375
1587446735.0316508,24891,-0.78125
1587446744.033023,24965,-0.9375
1587446753.9552302,25127,-0.859375
1587446763.0616076,25211,-0.859375
1587446763.1805959,25221,-0.859375
1587446774.2513165,25463,-0.828125
1587446803.2036073,25861,-0.8125
1587446812.4334521,25958,-0.8125
1587446812.6794353,25979,-0.84375
1587446812.902585,25999,-0.84375
1587446813.5891922,26058,-0.796875
1587446832.226781,26291,-0.6875
1587446841.6022065,26405,-0.84375
1587446851.430552,26555,-0.75
1587446851.9176574,26597,-0.796875
1587446852.706797,26665,-0.75
1587446861.555293,26719,-0.75
1587446861.5618763,26719,-0.75
1587446861.845202,26743,-0.734375
1587446872.0672407,26928,-0.765625
1587446872.7032492,26983,-0.890625
1587446881.1255841,27007,-0.828125
1587446891.3077078,27177,-0.734375
1587446911.3095534,27509,-0.8125
1587446920.6249337,27605,-0.859375
1587446940.6672301,27910,-0.828125
1587446950.8039396,28082,-0.890625
1587446951.6512444,28156,-0.828125
1587446961.3747585,28300,-0.84375
1587446970.153213,28363,-0.953125
1587446979.8054934,28500,-0.859375
1587446980.381478,28549,-0.828125
1587446980.4528193,28554,-0.6875
1587446981.4803052,28643,-0.734375
1587446999.5808604,28810,-0.796875
1587447000.3468928,28874,-0.859375
1587447019.325651,29110,-0.796875
1587447019.4236848,29118,-0.84375
1587447019.987224,29166,-0.875
1587447046.1796162,29539,-0.796875
1587447056.7152512,29686,-0.90625
1587447065.5899167,29736,-0.875
1587447076.8033297,29987,-0.734375
1587447076.9220757,29997,-0.75
1587447085.7937818,30050,-0.765625
1587447086.2449782,30088,-0.75
1587447095.961517,30225,-0.875
1587447096.5671928,30276,-0.78125
1587447115.6772754,30524,-0.8125
1587447124.7781756,30616,-0.84375
1587447134.6908472,30786,-0.796875
1587447154.3843398,31102,-0.671875
1587447155.2613988,31178,-0.875
1587447175.9205701,31415,-0.84375
1587447176.346326,31453,-0.78125
1587447185.8008041,31570,-0.828125
1587447186.1810646,31602,-0.828125
1587447207.1454406,31909,-0.703125
1587447207.3289275,31925,-0.859375
1587447256.5818052,32575,-0.859375
1587447257.327983,32639,-0.796875
1587447267.1714146,32787,-0.84375
1587447267.3605623,32803,-0.90625
1587447276.5785515,32890,-0.921875
1587447277.1263955,32937,-0.84375
1587447286.18662,33012,-0.828125
1587447296.287373,33176,-0.890625
1587447297.2634466,33260,-0.875
1587447306.1060386,33308,-0.828125
1587447307.3306289,33412,-0.859375
1587447326.4656258,33629,-0.8125
1587447337.553726,33875,-0.828125
1587447347.0057952,33982,-0.859375
1587447347.3833857,34013,-0.8125
1587447356.743053,34114,-0.875
1587447356.7822213,34117,-0.78125
1587447366.310484,34212,-0.84375
1587447366.4235451,34222,-0.84375
1587447367.552359,34317,-0.875
1587447377.657766,34468,-0.875
1587447377.8674664,34485,-0.890625
1587447407.519975,34878,-0.796875
1587447407.9564312,34916,-0.828125
1587447416.6817114,34952,-0.84375
1587447418.0118454,35068,-0.875
1587447426.7473822,35122,-0.8125
1587447436.5608888,35260,-0.859375
1587447436.9325523,35292,-0.796875
1587447446.9641466,35443,-0.84375
1587447448.082251,35539,-0.828125
1587447457.5287085,35647,-0.796875
1587447466.7627726,35731,-0.828125
1587447476.6561897,35868,-0.90625
1587447476.7341828,35875,-0.875
1587447496.6035194,36155,-0.90625
1587447496.6100953,36156,-0.765625
1587447497.1482475,36202,-0.9375
1587447516.77029,36469,-0.90625
1587447517.2173653,36507,-0.859375
1587447528.16967,36743,-0.90625
1587447536.6422946,36764,-0.9375
1587447547.69417,37006,-0.828125
1587447548.0708508,37038,-0.828125
1587447557.8389707,37172,-0.859375
1587447567.165916,37265,-0.859375
1587447567.7514718,37314,-0.9375
1587447577.5766027,37462,-0.84375
1587447587.3371587,37584,-0.875
1587447587.9035945,37633,-0.875
1587447597.6674035,37765,-0.828125
1587447597.7353299,37771,-0.8125
1587447606.922833,37857,-0.875
1587447627.797897,38233,-0.859375
1587447627.8349383,38236,-0.765625
1587447647.673592,38541,-0.875
1587447656.5529826,38602,-0.875
1587447657.5091472,38683,-0.90625
1587447666.4262536,38746,-0.859375
1587447666.5740788,38758,-0.8125
1587447686.4879186,39061,-0.90625
1587447687.0114715,39106,-0.921875
1587447695.98099,39173,-0.875
1587447717.2986438,39596,-0.859375
1587447727.2072597,39739,-0.875
1587447736.1848202,39823,-0.828125
1587447736.7955039,39876,-0.921875
1587447745.506442,39929,-0.859375
1587447746.5271997,40017,-0.90625
1587447755.9225378,40127,-0.8125
1587447764.977918,40207,-0.796875
1587447774.7664764,40355,-0.875
1587447784.5627754,40512,-0.921875
1587447785.7492635,40614,-0.90625
1587447794.7221014,40701,-0.890625
1587447795.0139935,40726,-0.859375
1587447804.0204499,40810,-0.796875
1587447814.2632535,41009,-0.828125
1587447814.5607736,41035,-0.859375
1587447815.0896556,41080,-0.921875
1587447823.8005865,41135,-0.78125
1587447824.794387,41221,-0.875
1587447833.3383179,41265,-0.90625
1587447834.3753603,41354,-0.78125
1587447853.5092382,41619,-0.859375
1587447853.86944,41651,-0.765625
1587447862.8182664,41721,-0.890625
1587447863.7066271,41798,-0.84375
1587447864.1876771,41840,-0.765625
1587447882.5806038,42043,-0.828125
1587447882.81177,42063,-0.921875
1587447883.2250125,42099,-0.921875
1587447902.1953273,42330,-0.84375
1587447902.775373,42380,-0.84375
1587447911.9779792,42471,-0.9375
1587447921.5647302,42603,-0.859375
1587447933.075959,42895,-0.875
1587447942.0235784,42964,-0.8125
1587447951.4458294,43080,-0.890625
1587447952.2559848,43150,-0.90625
1587447971.756613,43419,-0.796875
1587447971.99732,43440,-0.9375
1587447972.0421333,43444,-0.890625
