Wall time,Step,Value
1587692567.5374813,2408550,-56.0
1587693016.8166986,2413216,-25.0
1587694910.5692842,2431322,-215.0
1587695487.3465967,2436949,-5.0
1587695496.0451167,2437049,-10.0
1587695821.1229966,2440293,-5.0
1587695854.794365,2440566,0.0
1587696351.4927273,2446469,-14.0
1587696520.9260187,2447938,-8.0
1587696559.439606,2448226,-5.0
1587696677.595997,2449290,-6.0
1587697356.4619071,2456277,-4.0
1587698440.5872254,2468215,-2.0
1587698658.8475032,2470156,-43.0
1587698786.621812,2471859,-1.0
1587698798.8062549,2471994,-6.0
1587700169.1148748,2484763,-4.0
1587702005.2200007,2502674,-121.0
1587702761.2413096,2509766,0.0
1587702781.7562928,2509907,-1.0
1587703000.5158334,2511776,-3.0
1587703243.1494722,2513835,-29.0
1587703422.4492545,2515314,-5.0
1587703524.5687914,2516102,-8.0
1587703657.7686648,2517213,-14.0
1587703947.4631388,2519701,-3.0
1587704880.4853902,2529735,-1.0
1587705790.0910995,2538551,-12.0
1587706127.0102863,2541562,-12.0
1587706475.910032,2544418,-4.0
1587706854.024801,2547958,0.0
1587707191.9150531,2550822,-4.0
1587709337.9071333,2571903,-4.0
1587709341.4709733,2571931,-2.0
1587709754.5764866,2575122,-9.0
1587709913.5993862,2576830,-1.0
1587709945.3394516,2577106,-9.0
1587710009.1405041,2577615,-50.0
1587710120.99786,2578762,-2.0
1587710265.4001148,2580369,-3.0
1587711358.255266,2591436,-5.0
1587711380.0643013,2591623,-8.0
1587711430.1957235,2592045,-1.0
1587712749.0258403,2604354,-11.0
1587713357.666161,2610590,0.0
1587713523.3621368,2612130,-19.0
1587713779.645035,2614400,0.0
1587714096.3576472,2617448,-2.0
1587714437.4106066,2621638,-3.0
1587714543.4888082,2622558,-9.0
1587714720.6206155,2624307,-9.0
1587715027.3909009,2626927,-8.0
1587715466.2481618,2630627,-1.0
1587716179.1140752,2636915,-3.0
1587717353.8002143,2648436,-1.0
1587717780.8612845,2652540,-15.0
1587718165.5554156,2657071,0.0
1587719034.077367,2665544,-4.0
1587719815.5748937,2672817,-61.0
1587720205.3398914,2676867,-85.0
1587720512.90351,2680006,-1.0
1587721057.6158736,2685130,0.0
1587721808.028428,2692961,-2.0
1587722000.6582248,2694533,-4.0
1587722592.8875098,2699787,-3.0
1587722596.5442913,2699815,-3.0
1587722772.6669586,2701228,-1.0
1587723845.1905234,2710975,-3.0
1587724240.3346663,2714760,-7.0
1587724596.4072523,2718080,-5.0
1587724792.9209106,2719874,-8.0
1587724804.6217875,2719976,-11.0
1587726743.6635892,2739009,-4.0
1587726797.9637609,2739591,-7.0
1587726933.1289856,2740694,-4.0
1587727226.1942477,2743309,-1.0
1587727300.688289,2743914,-3.0
1587727740.4023468,2747788,-5.0
1587727747.1049054,2747837,-7.0
1587727853.7465706,2748890,-2.0
1587727905.065093,2749494,-13.0
1587728478.869375,2755044,-5.0
